frame_number,timestamp_seconds,x_meters,y_meters
0,0.0,-366.3884559104176,-293.88707895242266
1,0.05036768409388537,-366.85161500761194,-293.8478960225717
2,0.10073536818777074,-367.31471139647937,-293.81405939986877
3,0.1511030522816561,-367.77787277134735,-293.7806564353535
4,0.20147073637554147,-368.2337821868191,-293.7525993420676
5,0.25183842046942684,-368.6969475346192,-293.72453885832573
6,0.3022061045633122,-369.16407424719523,-293.69648239534206
7,0.3525737886571976,-369.6244883173298,-293.6684239184204
8,0.40294147275108294,-370.0796506612781,-293.6403672650948
9,0.4533091568449683,-370.5518706382757,-293.61230791708635
10,0.5036768409388537,-371.0154224176076,-293.5909059402267
11,0.554044525032739,-371.4756833267343,-293.5673148599914
12,0.6044122091266244,-371.9468536004543,-293.55038008891
13,0.6547798932205098,-372.41907404578853,-293.5265229725821
14,0.7051475773143951,-372.88205956791626,-293.5053870691984
15,0.7555152614082805,-373.3490390909544,-293.4873098953984
16,0.8058829455021659,-373.8140231123052,-293.4715170085552
17,0.8562506295960512,-374.2862521685132,-293.4480949696062
18,0.9066183136899366,-374.75355099772173,-293.4340501881949
19,0.956985997783822,-375.21669072348936,-293.42000435193063
20,1.0073536818777074,-375.6884282980038,-293.4059586628338
21,1.0577213659715927,-376.16065553590835,-293.391911924272
22,1.108089050065478,-376.6276698272535,-293.37786704872445
23,1.1584567341593635,-377.09783623448357,-293.36382078509655
24,1.2088244182532488,-377.57003459098195,-293.3497747811711
25,1.2591921023471342,-378.0458490690303,-293.33572717755607
26,1.3095597864410196,-378.52166098449544,-293.32168151023023
27,1.359927470534905,-378.9939077892769,-293.3076344226993
28,1.4102951546287903,-379.4680854453351,-293.29358820258614
29,1.4606628387226757,-379.95324802165595,-293.2795405229559
30,1.511030522816561,-380.4321328324365,-293.2654945862769
31,1.5613982069104464,-380.91195984905943,-293.2514469600142
32,1.6117658910043318,-381.39322843470325,-293.2374007418799
33,1.6621335750982171,-381.8786492371678,-293.2169680970452
34,1.7125012591921025,-382.3569652676021,-293.20745892286635
35,1.7628689432859879,-382.84498944171617,-293.18413505953697
36,1.8132366273798732,-383.33281099998203,-293.17008758475316
37,1.8636043114737586,-383.8185502864555,-293.15603925816873
38,1.913971995567644,-384.3025939492196,-293.1419926450931
39,1.9643396796615293,-384.79203912416625,-293.1279452869322
40,2.0147073637554147,-385.28242760436586,-293.1138966858069
41,2.0650750478493,-385.7681332758523,-293.09984783168517
42,2.1154427319431854,-386.24938975160336,-293.08580108620237
43,2.1658104160370706,-386.74634285360213,-293.0717526315174
44,2.216178100130956,-387.23359609483396,-293.0577048554203
45,2.2665457842248413,-387.71987815435136,-293.04365685939814
46,2.316913468318727,-388.20335470685103,-293.0401970572406
47,2.367281152412612,-388.70060380170946,-293.0266842141575
48,2.4176488365064976,-389.1875649055187,-293.01263675710834
49,2.468016520600383,-389.67938676285456,-292.9985885010316
50,2.5183842046942684,-390.16451717744565,-292.9845416289574
